Property Address,Property Name,Property Type,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Days On Market,Land Area (AC),Land Area (SF),LEED Certified,Latitude,Longitude,Operational Status,Rent/SF/Yr,Rent Type,Star Rating,Typical Floor Size,Zoning,Building Class,Energy Star,Property Location,Proposed Land Use,Rent
18501 Arenth Ave,,Industrial,Existing,San Gabriel Valley,City of Industry,City Of Industry,CA,91748,Los Angeles,1987,1,,236.0,1.49,158500,158500,158500,158500,158500,158500,0,-,0.0,7724.0,2024 Tax @ $1.5058/sf,2024 Tax @ $1.5058/sf,,,Colliers,,6262834560.0,,Tony Phu,,,"Bristol Group, Inc.","24 Hour Access, Fenced Lot, Mezzanine, Signage, Skylights, Yard, Reception, Storage Space, Air Conditioning",1600a/277-480v 3p 4w,"26'0""",30.0,"5/8'0""w x 10'0""h",,Yes,,Reinforced Concrete,,Yes,,,,262967,,,Bristol Industry Center,0,9.4,409464.0,,34.0031605,-117.9000668,,$6.66 - 8.14 (Est.),,5,158500,IDM*,A,,,,8.14
2400 E Artesia Blvd,Bridge Point Long Beach,Industrial,Existing,South Bay,Long Beach,Long Beach,CA,90805,Los Angeles,2021,1,,514.0,1.09,415312,415312,415312,415312,415312,415312,0,-,0.0,21000.0,2024 Tax @ $2.6330/sf,2024 Tax @ $2.6330/sf,,,Lee & Associates,,5625682024.0,,Jeff Huberman,,Bridge Industrial,Bridge Industrial,"Mezzanine, Skylights, Car Charging Station",2000a/277v 3p 4w,"36'0""",53.0,"2/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,Yes,,11036619,,,,0,17.23,750539.0,,33.8737175,-118.1621728,,$11.21 - 13.71 (Est.),,5,415312,LBIG,A,,,,13.71
7070 Badiee Dr,MAP Logistics Center III,Industrial,Existing,Sacramento County,Natomas/Northgate,Sacramento,CA,95835,Sacramento,2023,1,,93.0,0.85,109322,109322,27070,109322,109322,109322,0,-,0.0,,2024 Tax @ $3.3404/sf,2024 Tax @ $3.3404/sf,,,CBRE,,9167814859.0,,"Todd Sanfilippo, SIOR",,Badiee Development Inc.,LDK Ventures,"24 Hour Access, Fenced Lot, Skylights",3000a/480v 3p,"32'0""",18.0,"2/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,12860677,,,Metro Air Park Logistics Center,0,4.6,200376.0,,38.6794825,-121.5623548,,$7.85 - 9.59 (Est.),,4,109322,SPA,A,,,,9.59
1600 S Baker Ave,Bldg 9,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,1999,1,,200.0,1.63,122642,122642,122642,122642,0,0,122642,-,100.0,5000.0,2024 Tax @ $0.5978/sf,2024 Tax @ $0.5978/sf,,,Lee & Associates Commercial Real Estate Services,,9099897771.0,,Michael Chavez,,McDonald Property Group,Dexus Property Group,Fenced Lot,800-2000a/277-480v 3p 4w,"32'0""",27.0,"2/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,196873,,,Thoroughbred Business Prk Phase III,0,7.07,307969.0,,34.044167,-117.616672,,$7.85 - 9.59 (Est.),,4,122642,IG,A,,,,9.59
701 E Ball Rd,,Industrial,Under Construction,North County,Anaheim,Anaheim,CA,92805,Orange,2025,1,,172.0,1.23,139535,139535,139535,139535,139535,0,0,-,0.0,13289.0,2024 Tax @ $2.3729/sf,2024 Tax @ $2.3729/sf,,,Voit Real Estate Services,,7149352311.0,,Adam Hill,,,"TPG Angelo Gordon & Co., L.P.","Signage, Car Charging Station",4000a,"32'0""",13.0,2,,ESFR,,,,,,,,20309388,,,,247,6.97,303613.0,,33.8192014,-117.9013281,,$10.30 - 12.59 (Est.),,4,139535,I,A,,,,12.59
10958 Banana Ave,Birtcher Logistics Center Fontana,Industrial,Existing,Inland Empire West,Airport Area,Fontana,CA,92337,San Bernardino,2024,1,,169.0,0.28,330048,330048,330048,330048,330048,330048,0,-,0.0,5131.0,,,,,,,,,,,,Haralambos Beverage Co,"24 Hour Access, Mezzanine, Skylights, Energy Performance Rating - A",4000a,"36'0""",51.0,2,60'w x 56'd,ESFR,,Reinforced Concrete,,Gas,City,City,Natural,13829672,,,,0,15.0,653400.0,,34.0549215,-117.4982336,,$8.35 - 10.21 (Est.),,4,330048,SP,A,,,,10.21
7400 Bandini Blvd,Building I,Industrial,Existing,Central Los Angeles,Commerce,Commerce,CA,90040,Los Angeles,2025,1,,134.0,1.41,94937,94937,94937,94937,94937,94937,0,-,0.0,8970.0,2024 Tax @ $3.5785/sf,2024 Tax @ $3.5785/sf,,,Colliers,,3232783110.0,,"Scott Heaton, SIOR",,Bridge Industrial,Bridge Industrial,Skylights,3000a/277v 3p 4w,"36'0""",11.0,1,43'w x 56'd,ESFR,,Reinforced Concrete,,,,,,14215266,,,Bridge Point Commerce,0,4.2,182952.0,,33.9798047,-118.1305252,,$9.50 - 11.61 (Est.),,4,94937,CMM2,A,,,,11.61
7267 Barton St,Sycamore Hills Distribution Center Bldg B,Industrial,Under Construction,Inland Empire East,Moreno Valley/Perris,Riverside,CA,92508,Riverside,2025,1,,280.0,1.16,203100,203100,203100,203100,203100,0,0,-,0.0,3241.0,2023 Tax @ $0.0628/sf,2023 Tax @ $0.0628/sf,,,Lee & Associates Commercial Real Estate Services,,9093732701.0,,Alex Heim,,Rockefeller Group,Rockefeller Group,"Skylights, Yard",2000a/277v,"36'0""",34.0,2,56'w x 60'd,ESFR,,,,,,,,19771833,,,Sycamore Hills Distribution Center,267,10.32,449539.0,,33.9192348,-117.3124656,,$7.26 - 8.87 (Est.),,4,203100,,A,,,,8.87
1101 Bell Ave,,Industrial,Existing,Airport Area,Tustin,Tustin,CA,92780,Orange,2024,1,,88.0,0.66,134004,312098,134004,134004,134004,134004,0,-,0.0,,2024 Tax @ $8.2593/sf,2024 Tax @ $8.2593/sf,,,CBRE,,9497258504.0,,Dave Desper,,,Dermody,Fenced Lot,Heavy,"36'0""",18.0,2,56'w x 60'd,ESFR,,Reinforced Concrete,,,,,,12806083,,,LogistiCenter at 55,0,6.08,264845.0,,33.7189294,-117.8402552,,$9.58 - 11.71 (Est.),,4,134004,,A,,,,11.71
11130-11290 Bloomfield Ave,,Industrial,Existing,Mid-Cities,Santa Fe Springs/La Mirada,Santa Fe Springs,CA,90670,Los Angeles,2003,1,,268.0,1.11,240395,76959,76959,76959,76959,76959,0,-,67.99,13478.0,2024 Tax @ $1.3789/sf,2024 Tax @ $1.3789/sf,,,Newmark,,3104912048.0,,John McMillan,,Sares-Regis Group,Alere Property Group LLC,"Fenced Lot, Skylights, Energy Star Labeled, Air Conditioning",2000a/277-480v 3p 4w,"30'0""",44.0,"4/7'0""w x 10'0""h",,ESFR,,Reinforced Concrete,,Yes,,,,733308,,,Bloomfield Business Center,0,10.12,440827.0,,33.929969,-118.062552,,$10.50 - 12.83 (Est.),,4,240395,SSM2-BP,A,,,,12.83
605 S Bon View Ave,Ontario Airport Distribution Center - Bldg 1,Industrial,Under Construction,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2025,1,,106.0,0.56,190279,190279,190279,190279,190279,0,0,-,0.0,,2024 Tax @ $2.6339/sf,2024 Tax @ $2.6339/sf,,,,,,,,,,,,2000a,"36'0""",25.0,1,,ESFR,,Reinforced Concrete,,,,,,19779226,,,Ontario Airport Distribution Center,0,10.089325,439491.0,,34.0573813,-117.6355603,,$8.69 - 10.63 (Est.),,4,190279,,A,,,,10.63
6060 Business Center Ct,,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2004,1,,174.0,1.29,134776,134776,50000,269552,134776,0,134776,-,100.0,,2024 Tax @ $1.9682/sf,2024 Tax @ $1.9682/sf,,,Colliers,,8586775361.0,,"Mark Lewkowitz, SIOR",,Paulus Enterprises LLC,Cabot Properties Inc,Yard,2500a/277-480v 3p,"32'0""",21.0,"5/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,778939,,,,0,6.71,292288.0,,32.570206,-117.004447,,$8.54 - 10.43 (Est.),,4,134776,M,A,,NEC of Corp Cntr & Business Cntr,,10.43
4750 Business Center Dr,Building B,Industrial,Existing,Solano County,Fairfield,Fairfield,CA,94534,Solano,2022,1,,100.0,0.87,113670,113670,113670,113670,0,0,113670,-,100.0,,2024 Tax @ $2.4284/sf,2024 Tax @ $2.4284/sf,,,JLL,,4152996868.0,,Glen Dowling,,,TA Realty,Air Conditioning,2000a,"32'0""",14.0,4,52'w x 52'd,ESFR,,Reinforced Concrete,,,,,,11587431,,,Green Valley Corporate Park,0,12.64,550598.0,,38.2216206,-122.1382436,,$8.62 - 10.53 (Est.),,4,113670,IBP-NC,A,,,,10.53
305 S Cedar Ave,Rialto Commerce Center,Industrial,Existing,Inland Empire East,San Bernardino,Rialto,CA,92376,San Bernardino,2024,1,,182.0,0.71,198334,198334,198334,198334,198334,198334,0,-,0.0,,,,,,,,,,,,Ares Management Corp,Ares Industrial Real Estate Income Trust Inc.,Yard,12000a,"36'0""",26.0,"2/12'0""w x 14'0""h",56'w x 60'd,ESFR,,,,,,,,13888174,,,,0,9.4,409464.0,,34.0947628,-117.3958787,,$7.04 - 8.60 (Est.),,4,198334,M-2,A,,,,8.6
825 E Central Ave,Gateway South Building 1,Industrial,Existing,Inland Empire East,San Bernardino,San Bernardino,CA,92408,San Bernardino,2008,1,,200.0,0.21,969456,969456,969456,969456,969456,0,0,-,100.0,,2024 Tax @ $1.5565/sf,2024 Tax @ $1.5565/sf,,,,,,,,Brookfield Corporation,Hillwood,Brookfield Corporation,Skylights,12000a/277-480v 3p 4w,"30'0""",148.0,4,52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,1591533,,,AllianceCalifornia,0,39.43,1717571.0,,34.0839149,-117.266748,,$6.78 - 8.29 (Est.),,5,969456,IL,A,,,,8.29
2040 Cessna Dr,,Industrial,Existing,Solano County,Vacaville,Vacaville,CA,95688,Solano,2024,1,,220.0,1.3,169877,169877,169877,169877,169877,169877,0,-,0.0,,2024 Tax @ $0.2479/sf,2024 Tax @ $0.2479/sf,,,CBRE,,7074862844.0,,Brooks Pedder,,,LDK Ventures,,2500a,"36'0""",26.0,4,52'w x 52'd,ESFR,,Reinforced Concrete,,,Yes,Yes,,12735381,,,Northbay Logistics Center III,0,10.72,466963.0,,38.3892639,-121.9625427,,$6.48 - 7.93 (Est.),,5,169877,IP,A,,,,7.93
2041 Cessna Dr,,Industrial,Existing,Solano County,Vacaville,Vacaville,CA,95688,Solano,2003,1,,325.0,0.67,336960,129960,129960,129960,129960,129960,0,-,61.43,5399.0,2024 Tax @ $0.5863/sf,2024 Tax @ $0.5863/sf,,,JLL,,9259481305.0,,Matt Bracco,Buzz Oates,Buzz Oates,Buzz Oates,Skylights,3000a/277-480v,"30'0""",60.0,"8/12'0""w x 14'0""h",57'w x 57'd,ESFR,,Reinforced Concrete,,,,,,692588,,,Vacaville Business Park,0,17.91,780160.0,,38.387882,-121.959871,,$6.48 - 7.92 (Est.),,5,336960,IP,A,,,,7.92
1670 Champagne Ave,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2000,1,,136.0,0.37,263670,263670,263670,263670,0,0,263670,-,100.0,5240.0,2024 Tax @ $0.9708/sf,2024 Tax @ $0.9708/sf,,,CBRE,,9094182105.0,,Darla Longo,,,Cabot Properties Inc,"Fenced Lot, Air Conditioning",5000a/277-480v 3p 3w,"38'0""",41.0,"3/12'0""w x 14'0""h",52'w x 60'd,Yes,,Masonry,Union Pacific Railroad,,,,Natural,196850,,,,0,12.63,550163.0,,34.043977,-117.530592,,$5.99 - 7.32 (Est.),,4,263670,,A,,,,7.32
18551 Christopher Way,Building 2,Industrial,Existing,San Joaquin County,Lathrop,Lathrop,CA,95330,San Joaquin,2018,1,,142.0,0.97,103968,103968,103968,103968,103968,103968,0,-,0.0,,2024 Tax @ $1.2693/sf,2024 Tax @ $1.2693/sf,,,CBRE,,2094762920.0,,Bob Taylor,,Buzz Oates,Buzz Oates,Signage,2000a/277-480v 3p,"32'0""",16.0,"6/12'0""w x 14'0""h",57'w x 57'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,9953294,,,Crossroads Logistics Center,0,7.19,313196.0,,37.7984134,-121.2847346,,$6.61 - 8.08 (Est.),,4,103968,IG,A,,,,8.08
25500 Clawiter Rd,Building 1,Industrial,Existing,880 Corridor,Hayward/Castro Valley,Hayward,CA,94545,Alameda,2024,1,,199.0,0.85,232633,232633,232633,232633,232633,232633,0,-,0.0,3370.0,2024 Tax @ $2.8085/sf,2024 Tax @ $2.8085/sf,,,JLL,,5102855360.0,,Jason Ovadia,,Dermody,"PGIM, Inc.",Car Charging Station,4000a,"36'0""",43.0,2,52'w x 50'd,ESFR,,Reinforced Concrete,,,,,,11557821,,,,0,10.65,463914.0,,37.6335152,-122.1176388,,$9.55 - 11.67 (Est.),,4,232633,IG,A,,,,11.67
25820 Clawiter Rd,Hayward Exchange@92 - Bldg 2,Industrial,Existing,880 Corridor,Hayward/Castro Valley,Hayward,CA,94545,Alameda,2022,1,,66.0,1.16,56720,56720,56720,56720,56720,56720,0,-,0.0,,2024 Tax @ $3.3491/sf,2024 Tax @ $3.3491/sf,,,Cushman & Wakefield,,5108915817.0,,John McManus,,,Hines,,2000a/480v,"32'0""",9.0,1,,ESFR,,,,,,,,12215517,,,Hayward Exchange@92,0,4.24,184694.0,,37.6311394,-122.1152814,,$12.08 - 14.76 (Est.),,4,56720,IP,A,,,,14.76
1501 E Cooley Dr,,Industrial,Existing,Inland Empire East,San Bernardino,Colton,CA,92324,San Bernardino,2004,1,,179.0,0.21,123717,123717,48340,123717,123717,75377,0,-,39.07,4000.0,2024 Tax @ $1.5301/sf,2024 Tax @ $1.5301/sf,,,Colliers,,9099376318.0,,Mark Zorn,"Pine Mountain, LLC",Investment Building Group,Blackstone Inc.,"24 Hour Access, Fenced Lot, Property Manager on Site, Skylights",600-800a/277-480v 3p,"30'0""",27.0,2,60'w x 56'd,ESFR,,Masonry,,,City,Yes,,1014238,,,Cooley Ranch Business Park,0,7.41,322780.0,,34.060755,-117.3056081,,$7.30 - 8.93 (Est.),,4,123717,M1,A,,,,8.93
33800 County Line Ln,Yucaipa Logistics Center,Industrial,Under Construction,Inland Empire East,Redlands/Loma Linda,Yucaipa,CA,92320,San Bernardino,2025,1,,431.0,1.07,363039,363039,363039,363039,363039,0,0,-,0.0,8243.0,,,,,DAUM Commercial Real Estate Services,,9096529052.0,,Mark Schafer,,Transwestern,Brookfield Corporation,Yard,4000a 3p,"36'0""",34.0,2,,ESFR,,,,,,,,12667052,,,,0,19.32,841579.0,,34.0055042,-117.0681356,,$6.79 - 8.30 (Est.),,4,363039,M-1,A,,,,8.3
2340 Cousteau Ct,,Industrial,Existing,SR-78 Corridor,Vista,Vista,CA,92081,San Diego,1999,1,,253.0,1.9,134299,134299,30000,134299,134299,134299,0,-,0.0,24000.0,2024 Tax @ $1.9522/sf,2024 Tax @ $1.9522/sf,,,,,,,,,,Elion Partners,"Fenced Lot, Signage",Heavy,"26'0""",8.0,"4/12'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,829169,,,,0,8.99,391604.0,,33.1428091,-117.2399572,,$10.17 - 12.43 (Est.),,4,134299,RLI,A,,,,12.43
357 N Covina Ln,Industry West Logistics Center,Industrial,Existing,San Gabriel Valley,City of Industry,City Of Industry,CA,91746,Los Angeles,2024,1,,127.0,0.96,132254,132254,132254,132254,132254,132254,0,-,0.0,6000.0,,,,,Colliers,,6262834560.0,,Tony Phu,,,"Realterm US, Inc.","24 Hour Access, Fenced Lot, Mezzanine, Signage, Skylights, Yard, Reception, Storage Space, Air Conditioning",2000a,"32'0""",24.0,2,56'w x 60'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,13911630,,,,0,9.2,400752.0,LEED Certified - Silver,34.0577509,-118.0006009,,$10.44 - 12.76 (Est.),,5,132254,M-1.5,A,,,,12.76
17731 Cowan,,Industrial,Under Construction,Airport Area,Irvine,Irvine,CA,92614,Orange,2025,1,,63.0,1.16,54088,54088,54088,54088,54088,0,0,-,0.0,,2024 Tax @ $2.1993/sf,2024 Tax @ $2.1993/sf,,,,,,,,,Xebec,Xebec,Fenced Lot,1200a/480v 3p,"32'0""",5.0,2,,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,19314055,,,www.17731cowan.com,485,2.78,121097.0,,33.6965254,-117.8601725,,$10.44 - 12.76 (Est.),,4,54088,"5.1, IBC",A,,,,12.76
2612 Crows Landing Rd,,Industrial,Existing,Stanislaus County,Ceres,Modesto,CA,95358,Stanislaus,1974,1,,450.0,0.66,681038,107218,63259,170477,170477,63259,0,-,90.71,,2024 Tax @ $1.1273/sf,2024 Tax @ $1.1273/sf,,Triple Net,Lee & Associates Commercial Real Estate Service,,2099836838.0,,Mark Reckers,,,"G3 Enterprises, Inc",,2000a/240-480v 3p,"29'0""",29.0,"31/12'0""w x 16'0""h",,ESFR,,Reinforced Concrete,Union Pacific Railroad,,,,,116514,,,G3 Distribution Center,0,122.0,5314320.0,,37.592591,-120.990092,,$5.82 - 6.32 (Est.),,4,681038,M-2,A,,,,6.32
115 Devlin Rd,NOVA Business Park North,Industrial,Existing,Napa County,Napa County,Napa,CA,94558,Napa,2023,1,,169.0,0.61,250650,100125,100125,100125,100125,100125,0,-,60.05,,2024 Tax @ $1.7296/sf,2024 Tax @ $1.7296/sf,,,Colliers,,7078638397.0,,Bret DeMartini,,Scannell Properties,Scannell Properties,,2500a/277v 3p,"28'0""",50.0,"4/12'0""w x 14'0""h",55'w x 56'd,ESFR,,Reinforced Concrete,,,County,City,,12788718,,,,0,16.2,705672.0,,38.2374589,-122.2715812,,$12.46 - 15.23 (Est.),,5,250650,"IP, AC",A,,,,15.23
15010 Don Julian Rd,,Industrial,Under Construction,San Gabriel Valley,City of Industry,City of Industry,CA,91746,Los Angeles,2025,1,,294.0,1.34,219242,219242,219242,219242,219242,0,0,-,0.0,,2024 Tax @ $1.3640/sf,2024 Tax @ $1.3640/sf,,,,,,,,,"Rexford Industrial Realty, Inc.","Rexford Industrial Realty, Inc.",Car Charging Station,4000a,"36'0""",21.0,1,,ESFR,,,,,,,,16320731,,,,0,11.09,483080.0,,34.0226993,-117.9735358,,$12.06 - 14.74 (Est.),,4,219242,IDM,A,,,,14.74
4361-4371 Edison Ave,Bldg 15,Industrial,Existing,Inland Empire West,Chino/Chino Hills,Chino,CA,91710,San Bernardino,1997,1,,65.0,0.11,350000,199373,199373,199373,199373,199373,0,-,43.04,,2024 Tax @ $0.8797/sf,2024 Tax @ $0.8797/sf,,,Majestic Realty Co.,,5629484315.0,,Trent Wylde,Majestic Realty Co.,Majestic Realty Co.,Majestic Realty Co.,"Fenced Lot, Skylights",1200a/277-480v 3p 3w,"30'0""",59.0,"2/12'0""w x 15'0""h",52'w x 40'd,ESFR,,Reinforced Concrete,Union Pacific Railroad,,,,,196960,,,Majestic Spectrum,0,15.59,679100.0,,33.995302,-117.709743,,$5.50 - 6.72 (Est.),,4,350000,,A,,,,6.72
7129 Enrico Fermi Pl,Enrico Fermi Industrial,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2024,1,,110.0,0.73,150530,150530,150530,150530,150530,150530,0,-,0.0,,2024 Tax @ $1.7761/sf,2024 Tax @ $1.7761/sf,,,,,,,,,Phelan Development Company,Phelan Development Company,,4000a,"32'0""",22.0,4,52'w x 50'd,ESFR,,,,,,,,16014461,,,,21,9.639991,419918.0,,32.557525,-116.9243616,,$9.34 - 11.41 (Est.),,4,150530,,A,,,,11.41
4340 Eucalyptus Ave,,Industrial,Existing,Inland Empire West,Chino/Chino Hills,Chino,CA,91710,San Bernardino,1991,1,,178.0,0.51,350685,350685,350685,350685,350685,350685,0,-,0.0,6000.0,2024 Tax @ $0.8540/sf,2024 Tax @ $0.8540/sf,,,Majestic Realty Co.,,5626542726.0,,Mitch Embrey,,,"Luxor Properties, Inc.","Fenced Lot, Floor Drains, Skylights",1600a/277-480v 3p 3w,"26'0""",44.0,"2/12'0""w x 12'0""h",,Wet,,Reinforced Concrete,Southern Pacific Railroad,Yes,,,,197132,,,Majestic Spectrum  Bldg 7,0,16.41,714820.0,,33.991665,-117.709763,,$7.73 - 9.45 (Est.),,4,350685,M2,A,,,,9.45
3808 Faraday Ave,Advanced Manufacturing/ Life Science Building,Flex,Existing,Yolo County,Davis/Woodland,Davis,CA,95618,Yolo,2024,1,,161.0,1.5,107612,107612,36000,107612,107612,107612,0,-,0.0,,2023 Tax @ $0.8662/sf,2023 Tax @ $0.8662/sf,,,,,,,,,,Buzz Oates,"Skylights, Yard",4000a/277-480v,"32'0""",4.0,"5/12'0""w x 14'0""h",52'w x 55'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Natural,12925554,,,,0,8.05,350658.0,,38.5521034,-121.7049254,,$10.89 - 13.31 (Est.),,4,107612,Light Industrial,A,,,,13.31
1600 E Francis St,LogistiCenter,Industrial,Under Construction,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2025,1,,98.0,0.59,167174,167174,167174,167174,167174,0,0,-,0.0,3062.0,,,,,,,,,,,Dermody,Dermody,,4000a/277-480v,"36'0""",20.0,2,56'w x 50'd,ESFR,,Reinforced Concrete,,,,,,20884837,,,,0,6.98,304049.0,,34.0402843,-117.6178702,,$8.80 - 10.75 (Est.),,4,167174,M2,A,,,,10.75
4061 E Francis St,CA Commerce Ctr IV - Bldg 8,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2001,1,,289.0,0.43,500000,500000,500000,500000,500000,500000,0,-,0.0,,2024 Tax @ $0.5072/sf,2024 Tax @ $0.5072/sf,,,Majestic Realty Co.,,5629484315.0,,Trent Wylde,,Majestic Realty Co.,Majestic Realty Co.,"24 Hour Access, Fenced Lot, Security System, Skylights",1600-3200a/277-480v 3p 3w,"30'0""",58.0,2,50'w x 52'd,ESFR,,Reinforced Concrete,Union Pacific Railroad,,,,,526865,,,Majestic Airport Center,0,20.87,909097.0,,34.044715,-117.565217,,$7.11 - 8.70 (Est.),,4,500000,IND,A,,,,8.7
4355 E Fremont St,,Industrial,Existing,San Joaquin County,NE Stockton,Stockton,CA,95215,San Joaquin,1970,1,,179.0,1.66,295862,81693,26100,107793,107793,107793,0,-,63.57,,2024 Tax @ $0.6330/sf,2024 Tax @ $0.6330/sf,,,,,,,,,,Nancy A Wallace Trust,"Fenced Lot, Security System, Skylights",4000a/277-480v 3p 4w,"30'0""",32.0,4,80'w,Wet,,Reinforced Concrete,,,City,City,Natural,324554,,,,0,11.29,491792.0,,37.9731125,-121.2394555,,$6.41 - 7.83 (Est.),,4,107793,"IW, S.J. County",A,,,,7.83
6100 Garfield Ave,,Industrial,Existing,Central Los Angeles,Commerce,Commerce,CA,90040,Los Angeles,2014,1,,429.0,0.7,615000,615000,307000,615000,615000,615000,0,-,0.0,10000.0,2024 Tax @ $2.0829/sf,2024 Tax @ $2.0829/sf,,,,,,,,"Prologis, Inc.",,Norges Bank Investment Management,"Fenced Lot, Skylights",2000a/277-480v 3p 4w,"36'0""",109.0,"3/12'0""w x 16'0""h",52'w x 52'd,ESFR,,Reinforced Concrete,,,County,County,Natural,7988670,,,Garfield Corporate Center,0,19.83,863795.0,,33.9786538,-118.1421948,,$9.33 - 11.40 (Est.),,5,615000,M2,A,,,,11.4
1269 E Grant Line Rd,Tracy 205 Logistics Center,Industrial,Existing,San Joaquin County,Tracy,Tracy,CA,95304,San Joaquin,2023,1,,524.0,0.36,606343,606343,300000,606343,606343,606343,0,-,0.0,,2024 Tax @ $1.3810/sf,2024 Tax @ $1.3810/sf,,,Colliers,,2094755106.0,,Michael Goldstein,,Trammell Crow Company,Trammell Crow Company,"Fenced Lot, Skylights",4000a,"40'0""",103.0,4,60'w x 56'd,ESFR,,Reinforced Concrete,,,,,,12672889,,,,0,29.27,1275001.0,,37.7558397,-121.4049238,,$6.08 - 7.43 (Est.),,4,606343,I,A,,,,7.43
1000 Green Island Rd,,Industrial,Existing,Napa County,Napa County,American Canyon,CA,94503,Napa,2006,1,,122.0,0.4,249816,114000,45000,114000,114000,0,0,-,100.0,3898.0,2024 Tax @ $1.7018/sf,2024 Tax @ $1.7018/sf,,,,,,,,,,"G3 Enterprises, Inc",,2000a/277-480v 3p,"32'0""",24.0,"8/10'0""w x 16'0""h",60'w x 50'd,ESFR,,Reinforced Concrete,,,,,,5024668,,,Green Island Industrial Park,0,12.79,557132.0,,38.196228,-122.274111,,$12.88 - 15.74 (Est.),,4,249816,GI,A,,,,15.74
3130-3100 S Harbor,Harbor Logistics Center,Industrial,Existing,Airport Area,Santa Ana,Santa Ana,CA,92704,Orange,2025,1,,241.0,1.48,162656,162656,97832,162656,162656,162656,0,-,0.0,7000.0,2024 Tax @ $3.5511/sf,2024 Tax @ $3.5511/sf,,,,,,,,,Dune Real Estate Partners LP,Dune Real Estate Partners LP,"Fenced Lot, Car Charging Station",4000a/277-480v,"36'0""",17.0,2,56'w x 60'd,ESFR,,Reinforced Concrete,,,,,,620109,,,,253,8.3,361548.0,,33.7046,-117.920543,,$10.59 - 12.95 (Est.),,4,162656,M1,A,,,,12.95
18369 Harvill Ave,Building 19,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92570,Riverside,2025,1,,351.0,0.78,347672,347672,347672,347672,347672,347672,0,-,0.0,,2024 Tax @ $0.0952/sf,2024 Tax @ $0.0952/sf,,,Majestic Realty Co.,,5626542734.0,,Taylor Talt,,Majestic Realty Co.,Majestic Realty Co.,,4000a/277v 3p,"36'0""",49.0,2,,ESFR,,,,,,,,12790931,,,,0,19.04,829382.0,,33.8545277,-117.2631995,,$7.31 - 8.93 (Est.),,5,347672,M-SC,A,,,,8.93
18512 Harvill Ave,Majestic Freeway Business Center Building 12,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92570,Riverside,2024,1,,124.0,0.68,147249,147249,147249,147249,147249,147249,0,-,0.0,,2024 Tax @ $8.7452/sf,2024 Tax @ $8.7452/sf,,,Majestic Realty Co.,,5626542734.0,,Taylor Talt,,,Majestic Realty Co.,,4000a/277v 3p,"32'0""",19.0,2,,ESFR,,Reinforced Concrete,,,,,,12291332,,,Majestic Freeway Business Center,0,6.01,261796.0,,33.8494193,-117.2560985,,$7.71 - 9.42 (Est.),,4,147249,,A,,,,9.42
